Datetime,Open,High,Low,Close,Adj Close,Volume
2024-09-16 09:30:00-04:00,216.47000122070312,217.1999969482422,213.9199981689453,216.66000366210938,216.66000366210938,21390264
2024-09-16 10:30:00-04:00,216.64010620117188,216.9149932861328,214.83999633789062,216.55650329589844,216.55650329589844,8162076
2024-09-16 11:30:00-04:00,216.5500030517578,216.5800018310547,214.91000366210938,215.39999389648438,215.39999389648438,4852521
2024-09-16 12:30:00-04:00,215.38999938964844,215.97999572753906,214.92010498046875,215.96499633789062,215.96499633789062,3748142
2024-09-16 13:30:00-04:00,215.9600067138672,216.52000427246094,215.75,216.42999267578125,216.42999267578125,3606890
2024-09-16 14:30:00-04:00,216.4250030517578,216.466796875,215.9199981689453,216.22500610351562,216.22500610351562,4144167
2024-09-16 15:30:00-04:00,216.22500610351562,216.6999969482422,216.17999267578125,216.3000030517578,216.3000030517578,5232224
2024-09-17 09:30:00-04:00,215.5,216.55999755859375,214.5,216.4199981689453,216.4199981689453,11537502
2024-09-17 10:30:00-04:00,216.39999389648438,216.89999389648438,215.88999938964844,216.2050018310547,216.2050018310547,5086619
2024-09-17 11:30:00-04:00,216.2100067138672,216.83999633789062,215.50999450683594,215.75999450683594,215.75999450683594,4563369
2024-09-17 12:30:00-04:00,215.77000427246094,216.22999572753906,215.22999572753906,216.1699981689453,216.1699981689453,4929353
2024-09-17 13:30:00-04:00,216.16000366210938,216.38999938964844,215.05999755859375,216.14999389648438,216.14999389648438,3204596
2024-09-17 14:30:00-04:00,216.13999938964844,216.6199951171875,215.3000030517578,216.61000061035156,216.61000061035156,3928149
2024-09-17 15:30:00-04:00,216.60000610351562,216.85000610351562,216.1699981689453,216.85000610351562,216.85000610351562,4733527
2024-09-18 09:30:00-04:00,218.25,220.73500061035156,218.1721954345703,220.73500061035156,220.73500061035156,11719770
2024-09-18 10:30:00-04:00,220.7301025390625,221.61000061035156,220.25100708007812,220.6300048828125,220.6300048828125,8156545
2024-09-18 11:30:00-04:00,220.63999938964844,220.86990356445312,219.52000427246094,220.80999755859375,220.80999755859375,4730443
2024-09-18 12:30:00-04:00,220.8000030517578,221.35000610351562,220.25999450683594,221.21009826660156,221.21009826660156,4663209
2024-09-18 13:30:00-04:00,221.22000122070312,222.6999969482422,219.92999267578125,221.4073028564453,221.4073028564453,7417109
